user,deposit_attempts,sucess_deposit_attempts,num_cards,num_cards_success,first_deposit,last_deposit,deposit_sucess_ratio,deposit_time_delta,signup_time_delta,calls,docs_uploaded,docs_approved,approval_rate,sales_view,conversion_owner,sales_agent,account_create_on_date,country_name,tag,channel,ava_business,profile_state,num_closed_trade
14567473,1,1,1,1,38:22.8,38:22.8,1,0,1,7,3,2,0.666666667,1,David Slomczynski Sales,1,31:53.1,France,avafx,Default,French,PROFILE_STATE_FULL,15
14925123,1,1,1,1,42:26.8,42:26.8,1,0,0,0,4,2,0.5,1,AvaFX Customer Service,0,37:56.5,South Africa,fusionpartners_google_za_search_nonbrand,SEM,South Africa,PROFILE_STATE_FULL,6
14903473,1,1,1,1,23:24.0,23:24.0,1,0,118,1,2,2,1,0,Giuseppe Moscato,1,57:31.0,Italy,175464,Affiliates,Italian,PROFILE_STATE_FULL,0
15624106,1,1,1,1,07:08.7,07:08.7,1,0,4,2,2,2,1,0,Tsvetan Metodiev Petrov,1,46:31.8,United Kingdom,188233,Affiliates,United Kingdom,PROFILE_STATE_FULL,22
14848963,8,2,2,2,49:35.6,25:24.8,0.25,7,4,2,2,2,1,0,Alexandra Marin,1,59:45.7,Colombia,111560,Affiliates,Latam,PROFILE_STATE_FULL,62
14786829,2,1,1,1,26:13.3,26:13.3,0.5,0,20,2,3,2,0.666666667,1,Vincent Krupkin,1,58:41.1,Sweden,uac_fusion_nordic,SEM,English,PROFILE_STATE_FULL,1
14856970,2,1,1,1,29:42.4,29:42.4,0.5,0,6,1,3,2,0.666666667,1,Emil Krastev,1,32:07.1,United Kingdom,175356,Affiliates,United Kingdom,PROFILE_STATE_FULL,117
15399713,13,3,2,1,26:23.5,25:22.5,0.230769231,42,0,3,3,2,0.666666667,0,AD Unassigned,0,46:46.0,Mexico,152208,Affiliates,Latam,PROFILE_STATE_FULL,232
15248139,1,1,1,1,17:23.5,17:23.5,1,0,38,3,4,2,0.5,1,Hazem Habeballah,1,21:52.7,United Arab Emirates,168590,Affiliates,Ext. Abu Dhabi,PROFILE_STATE_FULL,36
15072048,5,4,1,1,51:40.0,04:31.8,0.8,0,0,0,0,0,0,1,AvaFX Customer Service,0,12:39.8,Brazil,86776,SEO,Latam,PROFILE_STATE_BLACKLIST,1
14577769,2,2,1,1,41:52.5,21:11.4,1,34,16,0,5,3,0.6,1,AD Unassigned,0,01:13.1,Singapore,86776,SEO,English,PROFILE_STATE_FULL,27
705436,1,1,1,1,21:29.2,21:29.2,1,0,2300,0,5,4,0.8,1,AD Unassigned,0,25:48.0,Brunei Darussalam,57734,Affiliates,English,PROFILE_STATE_LIMITED,18
14654977,1,1,1,1,11:24.9,11:24.9,1,0,0,4,2,2,1,0,AvaFX Customer Service,0,06:16.9,Philippines,rf13677698,Refer a Friend,English,PROFILE_STATE_FULL,111
14698211,7,2,1,1,32:15.7,55:30.2,0.285714286,7,1,9,3,2,0.666666667,1,Arina Knysh,1,02:02.3,Uzbekistan,185608,Affiliates,Russian,PROFILE_STATE_FULL,31
14559942,1,1,1,1,29:32.8,29:32.8,1,0,0,0,0,0,0,1,AvaFX Customer Service,0,23:15.7,South Africa,avafx,Default,South Africa,PROFILE_STATE_LIMITED,0
13017112,10,2,3,1,19:07.7,47:18.8,0.2,24,780,4,2,2,1,1,Michel Cohen,1,21:43.3,Mali,69298,Affiliates,French,PROFILE_STATE_FULL,102
15253769,3,2,1,1,13:33.8,08:28.9,0.666666667,17,1,4,2,2,1,1,Michel Cohen,1,07:05.1,France,86776,SEO,French,PROFILE_STATE_FULL,391
14898765,7,3,1,1,30:39.5,53:39.4,0.428571429,20,4,0,4,2,0.5,1,AD Unassigned,0,07:22.8,Albania,86776,SEO,English,PROFILE_STATE_FULL,136
14905040,5,5,1,1,59:57.1,54:57.9,1,93,16,6,2,2,1,1,Anton Yordanov,1,27:59.8,Colombia,avafx,SEO,Latam,PROFILE_STATE_FULL,261
14113741,1,1,1,1,17:32.7,17:32.7,1,0,463,5,6,2,0.333333333,1,Vittorio Astrologo,1,38:53.1,Italy,equation_it_search_brand,SEM,Italian,PROFILE_STATE_FULL,0
14481890,1,1,1,1,08:06.8,08:06.8,1,0,261,0,2,2,1,1,AvaFX Customer Service,0,47:43.2,United Kingdom,avafx,Default,United Kingdom,PROFILE_STATE_FULL,33
15062767,2,1,1,1,44:45.4,44:45.4,0.5,0,0,1,2,2,1,1,AvaFX Customer Service,0,35:21.4,United Arab Emirates,190092,Affiliates,Arabic,PROFILE_STATE_FULL,102
15443610,6,1,4,1,29:30.6,29:30.6,0.166666667,0,0,0,3,3,1,1,AvaFX Customer Service,0,18:01.2,Kuwait,190691,Affiliates,Ext. Poland,PROFILE_STATE_FULL,106
14725632,2,1,2,1,00:17.5,00:17.5,0.5,0,18,0,3,3,1,0,Alexandra Marin,1,53:00.0,Colombia,112872,Affiliates,Latam,PROFILE_STATE_FULL,84
14709293,22,14,3,2,38:46.2,24:06.6,0.636363636,225,0,1,4,3,0.75,1,Vincent Krupkin,1,17:11.4,Cyprus,uac_equation_uk,SEM,English,PROFILE_STATE_FULL,614
